"TableInfos"
"2012MM05";"2012 May";"";"Definitief"
"2012MM06";"2012 June";"";"Definitief"
"2012KW02";"2012 2nd quarter";"";"Definitief"
"2012MM07";"2012 July";"";"Definitief"
"2012MM08";"2012 August";"";"Definitief"
"2012MM09";"2012 September";"";"Definitief"
"2012KW03";"2012 3rd quarter";"";"Definitief"
"2012MM10";"2012 October";"";"Definitief"
"2012MM11";"2012 November";"";"Definitief"
"2012MM12";"2012 December";"";"Definitief"
"2012KW04";"2012 4th quarter";"";"Definitief"
"2013MM01";"2013 January";"";"Definitief"
"2013MM02";"2013 February";"";"Definitief"
"2013MM03";"2013 March";"";"Definitief"
"2013KW01";"2013 1st quarter";"";"Definitief"
"2013MM04";"2013 April";"";"Definitief"
"2013MM05";"2013 May";"";"Definitief"
"2013MM06";"2013 June";"";"Definitief"
"2013KW02";"2013 2nd quarter";"";"Definitief"
"2013MM07";"2013 July";"";"Definitief"
"2013MM08";"2013 August";"";"Definitief"
"2013MM09";"2013 September";"";"Definitief"
"2013KW03";"2013 3rd quarter";"";"Definitief"
"2013MM10";"2013 October";"";"Definitief"
"2013MM11";"2013 November";"";"Definitief"
"2013MM12";"2013 December";"";"Definitief"
"2013KW04";"2013 4th quarter";"";"Definitief"
"2014MM01";"2014 January";"";"Definitief"
"2014MM02";"2014 February";"";"Definitief"
"2014MM03";"2014 March";"";"Definitief"
"2014KW01";"2014 1st quarter";"";"Definitief"
"2014MM04";"2014 April";"";"Definitief"
"2014MM05";"2014 May";"";"Definitief"
"2014MM06";"2014 June";"";"Definitief"
"2014KW02";"2014 2nd quarter";"";"Definitief"
"2014MM07";"2014 July";"";"Definitief"
"2014MM08";"2014 August";"";"Definitief"
"2014MM09";"2014 September";"";"Definitief"
"2014KW03";"2014 3rd quarter";"";"Definitief"
"2014MM10";"2014 October";"";"Definitief"
"2014MM11";"2014 November";"";"Definitief"
"2014MM12";"2014 December";"";"Definitief"
"2014KW04";"2014 4th quarter";"";"Definitief"
"2015MM01";"2015 January";"";"Definitief"
"2015MM02";"2015 February";"";"Definitief"
"2015MM03";"2015 March";"";"Definitief"
"2015KW01";"2015 1st quarter";"";"Definitief"
"2015MM04";"2015 April";"";"Definitief"
"2015MM05";"2015 May";"";"Definitief"
"2015MM06";"2015 June";"";"Definitief"
"2015KW02";"2015 2nd quarter";"";"Definitief"
"2015MM07";"2015 July";"";"Definitief"
"2015MM08";"2015 August";"";"Definitief"
"2015MM09";"2015 September";"";"Definitief"
"2015KW03";"2015 3rd quarter";"";"Definitief"
"2015MM10";"2015 October";"";"Definitief"
"2015MM11";"2015 November";"";"Definitief"
"2015MM12";"2015 December";"";"Definitief"
"2015KW04";"2015 4th quarter";"";"Definitief"
"2016MM01";"2016 January";"Provisional figures";"Voorlopig"
"2016MM02";"2016 February";"Provisional figures";"Voorlopig"
"2016MM03";"2016 March";"Provisional figures";"Voorlopig"
"2016KW01";"2016 1st quarter";"Provisional figures";"Voorlopig"
"2016MM04";"2016 April";"Provisional figures";"Voorlopig"
"2016MM05";"2016 May";"Provisional figures";"Voorlopig"
"2016MM06";"2016 June";"Provisional figures";"Voorlopig"
"2016KW02";"2016 2nd quarter";"Provisional figures";"Voorlopig"
"2016MM07";"2016 July";"Provisional figures";"Voorlopig"
"2016MM08";"2016 August";"Provisional figures";"Voorlopig"
"2016MM09";"2016 September";"Provisional figures";"Voorlopig"
"2016KW03";"2016 3rd quarter";"Provisional figures";"Voorlopig"
"2016MM10";"2016 October";"Provisional figures";"Voorlopig"
"2016MM11";"2016 November";"Provisional figures";"Voorlopig"
"2016MM12";"2016 December";"Provisional figures";"Voorlopig"
"2016KW04";"2016 4th quarter";"Provisional figures";"Voorlopig"
"2017MM01";"2017 January";"Provisional figures";"Voorlopig"
"2017MM02";"2017 February";"Provisional figures";"Voorlopig"
"2017MM03";"2017 March";"Provisional figures";"Voorlopig"
"2017KW01";"2017 1st quarter";"Provisional figures";"Voorlopig"
"2017MM04";"2017 April";"Provisional figures";"Voorlopig"
"2017MM05";"2017 May";"Provisional figures";"Voorlopig"
"2017MM06";"2017 June";"Provisional figures";"Voorlopig"
"2017KW02";"2017 2nd quarter";"Provisional figures";"Voorlopig"
"2017MM07";"2017 July";"Provisional figures";"Voorlopig"
"2017MM08";"2017 August";"Provisional figures";"Voorlopig"
"2017MM09";"2017 September";"Provisional figures";"Voorlopig"
"2017KW03";"2017 3rd quarter";"Provisional figures";"Voorlopig"
"2017MM10";"2017 October";"Provisional figures";"Voorlopig"
"2017MM11";"2017 November";"Provisional figures";"Voorlopig"
"2017MM12";"2017 December";"Provisional figures";"Voorlopig"
"2017KW04";"2017 4th quarter";"Provisional figures";"Voorlopig"
"2018MM01";"2018 January";"Provisional figures";"Voorlopig"
"2018MM02";"2018 February";"Provisional figures";"Voorlopig"
"2018MM03";"2018 March";"Provisional figures";"Voorlopig"
"2018KW01";"2018 1st quarter";"Provisional figures";"Voorlopig"
"2018MM04";"2018 April";"Provisional figures";"Voorlopig"
"2018MM05";"2018 May";"Provisional figures";"Voorlopig"
"2018MM06";"2018 June";"Provisional figures";"Voorlopig"
"2018KW02";"2018 2nd quarter";"Provisional figures";"Voorlopig"
"2018MM07";"2018 July";"Provisional figures";"Voorlopig"
"2018MM08";"2018 August";"Provisional figures";"Voorlopig"
"2018MM09";"2018 September";"Provisional figures";"Voorlopig"
"2018KW03";"2018 3rd quarter";"Provisional figures";"Voorlopig"
"2018MM10";"2018 October";"Provisional figures";"Voorlopig"
"2018MM11";"2018 November";"Provisional figures";"Voorlopig"
"2018MM12";"2018 December";"Provisional figures";"Voorlopig"
"2018KW04";"2018 4th quarter";"Provisional figures";"Voorlopig"
"2019MM01";"2019 January";"Provisional figures";"Voorlopig"
"2019MM02";"2019 February";"Provisional figures";"Voorlopig"
"2019MM03";"2019 March";"Provisional figures";"Voorlopig"
"2019KW01";"2019 1st quarter";"Provisional figures";"Voorlopig"
"2019MM04";"2019 April";"Provisional figures";"Voorlopig"
"2019MM05";"2019 May";"Provisional figures";"Voorlopig"
"2019MM06";"2019 June";"Provisional figures";"Voorlopig"
"2019KW02";"2019 2nd quarter";"Provisional figures";"Voorlopig"
"2019MM07";"2019 July";"Provisional figures";"Voorlopig"
"2019MM08";"2019 August";"Provisional figures";"Voorlopig"
"2019MM09";"2019 September";"Provisional figures";"Voorlopig"
"2019KW03";"2019 3rd quarter";"Provisional figures";"Voorlopig"
"2019MM10";"2019 October";"Provisional figures";"Voorlopig"
"2019MM11";"2019 November";"Provisional figures";"Voorlopig"
"2019MM12";"2019 December";"Provisional figures";"Voorlopig"
"2019KW04";"2019 4th quarter";"Provisional figures";"Voorlopig"
"2020MM01";"2020 January";"Provisional figures";"Voorlopig"
"2020MM02";"2020 February";"Provisional figures";"Voorlopig"
"2020MM03";"2020 March";"Provisional figures";"Voorlopig"
"2020KW01";"2020 1st quarter";"Provisional figures";"Voorlopig"
"2020MM04";"2020 April";"Provisional figures";"Voorlopig"
"2020MM05";"2020 May";"Provisional figures";"Voorlopig"
"2020MM06";"2020 June";"Provisional figures";"Voorlopig"
"2020KW02";"2020 2nd quarter";"Provisional figures";"Voorlopig"
"2020MM07";"2020 July";"Provisional figures";"Voorlopig"
"2020MM08";"2020 August";"Provisional figures";"Voorlopig"
"2020MM09";"2020 September";"Provisional figures";"Voorlopig"
"2020KW03";"2020 3rd quarter";"Provisional figures";"Voorlopig"
"2020MM10";"2020 October";"Provisional figures";"Voorlopig"
